"text","label"
"دوره‌ای که ارائه شد بسیار مفید و کاربردی بود.","1"
"مدرس دوره بسیار با انرژی و دانشمند بود.","1"
"محتوای دوره بسیار جامع و به‌روز بود.","1"
"دوره خوبی بود ولی انتظار داشتم مثال‌های بیشتری ارائه شود.","0"
"متاسفانه، این دوره نتوانست نیازهای یادگیری من را برآورده کند.","-1"
"دوره خیلی سریع پیش رفت و مطالب به خوبی توضیح داده نشدند.","-1"
"دوره مفیدی بود اما برخی از ویدیوها کیفیت پایینی داشتند.","0"
"به نظر می‌رسد که این دوره برای مبتدیان طراحی شده است، نه حرفه‌ای‌ها.","-1"
"دوره عالی بود و من توانستم بلافاصله مطالب یاد گرفته شده را در کار خود به کار ببرم.","1"
"مدرس بسیار مسلط بود و توانست مطالب را به زبان ساده توضیح دهد.","1"
"دوره خوبی بود اما انتظار داشتم که تمرین‌های بیشتری داشته باشد.","0"
"محتوای دوره بسیار قدیمی بود و به‌روزرسانی نشده بود.","-1"
"دوره بسیار کاربردی بود و من توانستم مهارت‌های جدیدی یاد بگیرم.","1"
"دوره به خوبی سازماندهی شده بود و مطالب به ترتیب منطقی ارائه شدند.","1"
"مدرس دوره بسیار خوب بود ولی محتوای دوره کافی نبود.","0"
"دوره بسیار سطحی بود و اطلاعات عمیقی ارائه نکرد.","-1"
"من از شرکت در این دوره بسیار راضی بودم و به دیگران هم توصیه می‌کنم.","1"
"دوره بسیار طولانی بود و می‌توانست در زمان کمتری تکمیل شود.","0"
"مدرس دوره بسیار خشک و بی‌روح تدریس می‌کرد و جذابیتی نداشت.","-1"
"دوره فوق‌العاده‌ای بود و من توانستم بسیاری از مفاهیم را به خوبی درک کنم.","1"
"محتوای دوره بسیار متنوع و جذاب بود.","1"
"دوره ارزشمندی بود ولی برخی از مباحث نیاز به توضیح بیشتر داشتند.","0"
"مدرس دوره نتوانست اطلاعات را به خوبی منتقل کند.","-1"
"دوره بسیار مفید بود و من توانستم از مطالب آن در پروژه‌های شخصی‌ام استفاده کنم.","1"
"دوره خوبی بود اما برخی از قسمت‌ها خیلی پیچیده توضیح داده شده بودند.","0"
"متاسفانه، دوره نتوانست انتظارات من را برآورده کند و مطالب جدیدی یاد نگرفتم.","-1"
"دوره بسیار عالی بود و من به همه توصیه می‌کنم که در آن شرکت کنند.","1"
"دوره خوبی بود ولی برخی از مباحث به اندازه کافی پوشش داده نشده بودند.","0"
"مدرس دوره بسیار با تجربه بود ولی سبک تدریس او برای من جذاب نبود.","0"
"دوره بسیار کامل و جامع بود و من توانستم بسیاری از مهارت‌های جدید را یاد بگیرم.","1"
"دوره ارزشمندی بود ولی برخی از ویدیوها کیفیت پایینی داشتند.","0"
"مدرس دوره نتوانست مطالب را به خوبی ارائه دهد و من نتوانستم اطلاعات زیادی کسب کنم.","-1"
"دوره بسیار مفید و کاربردی بود و من توانستم مهارت‌های جدیدی کسب کنم.","1"
"دوره خوبی بود ولی برخی از مباحث نیاز به توضیحات بیشتر داشتند.","0"
"متاسفانه، دوره نتوانست به خوبی مطالب را توضیح دهد و من نتوانستم اطلاعات مفیدی کسب کنم.","-1"
"دوره بسیار عالی بود و من توانستم بسیاری از مفاهیم را به خوبی درک کنم.","1"
"دوره خوبی بود ولی برخی از مباحث به اندازه کافی پوشش داده نشده بودند.","0"
"مدرس دوره بسیار با تجربه بود ولی سبک تدریس او برای من جذاب نبود.","0"
"دوره بسیار کامل و جامع بود و من توانستم بسیاری از مهارت‌های جدید را یاد بگیرم.","1"
"دوره ارزشمندی بود ولی برخی از ویدیوها کیفیت پایینی داشتند.","0"
"مدرس دوره نتوانست مطالب را به خوبی ارائه دهد و من نتوانستم اطلاعات زیادی کسب کنم.","-1"
"دوره بسیار مفید و کاربردی بود و من توانستم مهارت‌های جدیدی کسب کنم.","1"
"دوره‌ای که ارائه شد بسیار مفید و کاربردی بود.","1"
"مدرس دوره بسیار با انرژی و دانشمند بود.","1"
"محتوای دوره بسیار جامع و به‌روز بود.","1"
"دوره خوبی بود ولی انتظار داشتم مثال‌های بیشتری ارائه شود.","0"
"متاسفانه، این دوره نتوانست نیازهای یادگیری من را برآورده کند.","-1"
"دوره خیلی سریع پیش رفت و مطالب به خوبی توضیح داده نشدند.","-1"
"دوره مفیدی بود اما برخی از ویدیوها کیفیت پایینی داشتند.","0"
"به نظر می‌رسد که این دوره برای مبتدیان طراحی شده است، نه حرفه‌ای‌ها.","-1"
"دوره عالی بود و من توانستم بلافاصله مطالب یاد گرفته شده را در کار خود به کار ببرم.","1"
"مدرس بسیار مسلط بود و توانست مطالب را به زبان ساده توضیح دهد.","1"
"دوره خوبی بود اما انتظار داشتم که تمرین‌های بیشتری داشته باشد.","0"
"محتوای دوره بسیار قدیمی بود و به‌روزرسانی نشده بود.","-1"
"دوره بسیار کاربردی بود و من توانستم مهارت‌های جدیدی یاد بگیرم.","1"
"دوره به خوبی سازماندهی شده بود و مطالب به ترتیب منطقی ارائه شدند.","1"
"مدرس دوره بسیار خوب بود ولی محتوای دوره کافی نبود.","0"
"دوره بسیار سطحی بود و اطلاعات عمیقی ارائه نکرد.","-1"
"من از شرکت در این دوره بسیار راضی بودم و به دیگران هم توصیه می‌کنم.","1"
"دوره بسیار طولانی بود و می‌توانست در زمان کمتری تکمیل شود.","0"
"مدرس دوره بسیار خشک و بی‌روح تدریس می‌کرد و جذابیتی نداشت.","-1"
"دوره فوق‌العاده‌ای بود و من توانستم بسیاری از مفاهیم را به خوبی درک کنم.","1"
"محتوای دوره بسیار متنوع و جذاب بود.","1"
"دوره ارزشمندی بود ولی برخی از مباحث نیاز به توضیح بیشتر داشتند.","0"
"مدرس دوره نتوانست اطلاعات را به خوبی منتقل کند.","-1"
"دوره بسیار مفید بود و من توانستم از مطالب آن در پروژه‌های شخصی‌ام استفاده کنم.","1"
"دوره خوبی بود اما برخی از قسمت‌ها خیلی پیچیده توضیح داده شده بودند.","0"
"متاسفانه، دوره نتوانست انتظارات من را برآورده کند و مطالب جدیدی یاد نگرفتم.","-1"
"دوره بسیار عالی بود و من به همه توصیه می‌کنم که در آن شرکت کنند.","1"
"دوره خوبی بود ولی برخی از مباحث به اندازه کافی پوشش داده نشده بودند.","0"
"مدرس دوره بسیار با تجربه بود ولی سبک تدریس او برای من جذاب نبود.","-1"
"دوره بسیار کامل و جامع بود و من توانستم بسیاری از مهارت‌های جدید را یاد بگیرم.","1"
"دوره ارزشمندی بود ولی برخی از ویدیوها کیفیت پایینی داشتند.","0"
"مدرس دوره نتوانست مطالب را به خوبی ارائه دهد و من نتوانستم اطلاعات زیادی کسب کنم.","-1"
"دوره بسیار مفید و کاربردی بود و من توانستم مهارت‌های جدیدی کسب کنم.","1"
"دوره خوبی بود ولی برخی از مباحث نیاز به توضیحات بیشتر داشتند.","0"
"متاسفانه، دوره نتوانست به خوبی مطالب را توضیح دهد و من نتوانستم اطلاعات مفیدی کسب کنم.","-1"
"دوره بسیار عالی بود و من توانستم بسیاری از مفاهیم را به خوبی درک کنم.","1"
"دوره خوبی بود ولی برخی از مباحث به اندازه کافی پوشش داده نشده بودند.","0"
"مدرس دوره بسیار با تجربه بود ولی سبک تدریس او برای من جذاب نبود.","-1"
"دوره بسیار کامل و جامع بود و من توانستم بسیاری از مهارت‌های جدید را یاد بگیرم.","1"
"دوره ارزشمندی بود ولی برخی از ویدیوها کیفیت پایینی داشتند.","0"
"مدرس دوره نتوانست مطالب را به خوبی ارائه دهد و من نتوانستم اطلاعات زیادی کسب کنم.","-1"
"دوره بسیار مفید و کاربردی بود و من توانستم مهارت‌های جدیدی کسب کنم.","1"
"دوره فوق‌العاده‌ای بود، مطالب به خوبی توضیح داده شده بودند.","1"
"متاسفانه این دوره انتظارات من را برآورده نکرد.","-1"
"دوره خوبی بود، اما برخی از قسمت‌ها نیاز به بهبود دارند.","0"
"مدرس بسیار دانشمند و با تجربه بود و مطالب را به زیبایی ارائه داد.","1"
"محتوای دوره خیلی پایه‌ای بود و چیز جدیدی یاد نگرفتم.","-1"
"دوره در کل خوب بود ولی کیفیت ویدیوها می‌توانست بهتر باشد.","0"
"با شرکت در این دوره، مهارت‌های جدیدی کسب کردم که بسیار مفید بودند.","1"
"سرعت پیشرفت دوره برای من خیلی سریع بود و نتوانستم همه چیز را درک کنم.","-1"
"مطالب ارائه شده در دوره مفید بودند، اما ارائه مدرس کمی خسته‌کننده بود.","0"
"دوره بسیار عمیق و مفیدی بود، تمام موضوعات به دقت پوشش داده شده بودند.","1"
"مدرس دوره اطلاعات را به شکلی پیچیده بیان می‌کرد که دشوار بود فهمیدنش.","-1"
"دوره خوبی بود، اما انتظار داشتم که بیشتر روی مهارت‌های عملی تمرکز شود.","0"
"مدرس با اشتیاق زیادی تدریس می‌کرد و محیط یادگیری را جذاب کرده بود.","1"
"مطالب دوره بیش از حد تئوری بود و کاربردی نبودند.","-1"
"دوره از نظر محتوایی خوب بود، ولی برنامه‌ریزی زمانی آن مناسب نبود.","0"
"این دوره به من کمک کرد تا درک بهتری از موضوعات پیچیده پیدا کنم.","1"
"مدرس دوره به سوالات پاسخ نمی‌داد، که این امر یادگیری را دشوار می‌کرد.","-1"
"دوره مطالب متنوعی داشت، اما برخی از آن‌ها به‌روز نبودند.","0"
"دوره بسیار کاربردی بود و تکنیک‌هایی یاد گرفتم که می‌توانم فوراً استفاده کنم.","1"
"مدرس دوره بسیار سریع مطالب را می‌گذراند و فرصت تمرین کافی نبود.","-1"
"دوره در کل خوب بود، اما برخی از ویدیوها کیفیت مناسبی نداشتند.","0"
"دوره به من اطلاعات جدیدی داد که قبلاً از آن‌ها بی‌خبر بودم.","1"
"مدرس دوره بسیار خوب بود، اما محتوای دوره نیاز به به‌روزرسانی داشت.","0"
"دوره بسیار ساده بود و به نظر می‌رسید که برای افراد مبتدی طراحی شده است.","-1"
"دوره بسیار جذاب و انگیزه‌بخش بود، منتظر دوره‌های بعدی هستم.","1"
"مدرس دوره بسیار مطلع بود، اما روش تدریس او خسته‌کننده بود.","0"
"محتوای دوره بسیار قدیمی بود و نیاز به به‌روزرسانی داشت.","-1"
"دوره بسیار کامل بود و همه جنبه‌های موضوع را پوشش داده بود.","1"
"دوره از نظر محتوایی خوب بود، اما مدرس تعامل زیادی با شرکت‌کنندگان نداشت.","0"
"دوره از نظر محتوایی عالی بود ولی تعامل کلاسی کمی ضعیف بود.","0"
"مدرس دوره بسیار با انرژی و پرشور بود، اما مطالب کمی پیچیده ارائه شد.","0"
"محتوای دوره بسیار به‌روز و مطابق با آخرین استانداردهای صنعت بود.","1"
"دوره تا حدودی خسته‌کننده بود، اما اطلاعات ارائه شده مفید بودند.","0"
"مدرس دوره بسیار متخصص بود ولی سرعت تدریس بالا بود.","0"
"دوره بسیار مفید و کاربردی بود، تمام نکات کلیدی پوشش داده شد.","1"
"مدرس دوره بسیار صبور بود و به همه سوالات با دقت پاسخ داد.","1"
"محتوای دوره کمی قدیمی بود، اما تکنیک‌های ارائه شده هنوز کاربردی هستند.","0"
"دوره بسیار سرگرم‌کننده و جذاب بود، یادگیری در آن لذت‌بخش بود.","1"
"مدرس دوره بسیار دانشمند بود، اما کمی بیش از حد جدی.","0"
"دوره از نظر محتوایی فوق‌العاده بود، هر جلسه پر از اطلاعات جدید بود.","1"
"مدرس دوره بسیار خوش‌برخورد بود ولی برخی مواقع از موضوع اصلی منحرف می‌شد.","0"
"دوره بسیار کامل و جامع بود، هیچ چیزی از قلم نیفتاده بود.","1"
"مدرس دوره بسیار با تجربه بود، اما روش تدریس او کمی قدیمی بود.","0"
"دوره بسیار مفید بود و من توانستم بلافاصله مطالب را در کار خود پیاده‌سازی کنم.","1"
"مدرس دوره بسیار مسلط بود، اما کمی بیش از حد سریع تدریس می‌کرد.","0"
"دوره بسیار عملی و کاربردی بود، تمرین‌های زیادی برای تقویت مهارت‌ها داشت.","1"
"مدرس دوره بسیار مهربان و دلسوز بود، اما گاهی اوقات توضیحاتش کافی نبود.","0"
"دوره بسیار متنوع بود و به خوبی تمام جنبه‌های موضوع را پوشش داده بود.","1"
"مدرس دوره بسیار باهوش بود، اما گاهی اوقات برای فهمیدن توضیحاتش باید تلاش کرد.","0"
"دوره به خوبی ساختاربندی شده بود و هر بخش به طور واضح توضیح داده شد.","1"
"مدرس دوره بسیار مطلع بود، اما گاهی اوقات توضیحاتش خیلی فنی و پیچیده بود.","0"
"محتوای دوره بسیار کاربردی بود و من توانستم مهارت‌های جدیدی را یاد بگیرم.","1"
"دوره از نظر محتوایی خوب بود، اما برخی از تمرین‌ها خیلی ساده بودند.","0"
"مدرس دوره بسیار باحوصله بود و به همه سوالات به دقت پاسخ داد.","1"
"دوره بسیار مفید بود و من توانستم بسیاری از مفاهیم را بهتر درک کنم.","1"
"مدرس دوره بسیار خوب بود، اما برخی از مطالب به خوبی پوشش داده نشده بودند.","0"
"دوره بسیار جامع بود و تمامی موضوعات مرتبط را پوشش داده بود.","1"
"مدرس دوره بسیار با استعداد بود، اما گاهی اوقات بیش از حد سریع تدریس می‌کرد.","0"
"دوره بسیار متنوع بود و من توانستم از هر جلسه چیز جدیدی یاد بگیرم.","1"
"مدرس دوره بسیار دقیق بود، اما گاهی اوقات توضیحاتش خیلی مختصر بود.","0"
"دوره بسیار موثر بود و من توانستم مهارت‌های خود را به سطح بالاتری برسانم.","1"
"مدرس دوره بسیار با دانش بود، اما گاهی اوقات کمی خشک و بی‌روح تدریس می‌کرد.","0"
"دوره بسیار کامل بود و تمامی نکات کلیدی به خوبی توضیح داده شدند.","1"
"مدرس دوره بسیار متعهد بود، اما گاهی اوقات برنامه‌ریزی کلاس‌ها مناسب نبود.","0"
"دوره بسیار عمیق بود و من توانستم دانش خود را در زمینه‌های مختلف گسترش دهم.","1"
"مدرس دوره بسیار متبحر بود، اما گاهی اوقات توضیحاتش کمی مبهم بود.","0"
"دوره بسیار مفید بود و من توانستم بسیاری از مهارت‌های عملی را یاد بگیرم.","1"
"مدرس دوره بسیار مسلط بود، اما گاهی اوقات به سوالات به طور کامل پاسخ نمی‌داد.","0"
"دوره بسیار جذاب بود و من توانستم اطلاعات زیادی را در مدت زمان کوتاهی یاد بگیرم.","1"
"دوره به خوبی ساختاربندی شده بود و هر بخش به طور واضح توضیح داده شد.","1"
"مدرس دوره بسیار مطلع بود، اما گاهی اوقات توضیحاتش خیلی فنی و پیچیده بود.","0"
"محتوای دوره بسیار کاربردی بود و من توانستم مهارت‌های جدیدی را یاد بگیرم.","1"
"دوره از نظر محتوایی خوب بود، اما برخی از تمرین‌ها خیلی ساده بودند.","0"
"مدرس دوره بسیار باحوصله بود و به همه سوالات به دقت پاسخ داد.","1"
"دوره بسیار مفید بود و من توانستم بسیاری از مفاهیم را بهتر درک کنم.","1"
"مدرس دوره بسیار خوب بود، اما برخی از مطالب به خوبی پوشش داده نشده بودند.","0"
"دوره بسیار جامع بود و تمامی موضوعات مرتبط را پوشش داده بود.","1"
"مدرس دوره بسیار با استعداد بود، اما گاهی اوقات بیش از حد سریع تدریس می‌کرد.","0"
"دوره بسیار متنوع بود و من توانستم از هر جلسه چیز جدیدی یاد بگیرم.","1"
"مدرس دوره بسیار دقیق بود، اما گاهی اوقات توضیحاتش خیلی مختصر بود.","0"
"دوره بسیار موثر بود و من توانستم مهارت‌های خود را به سطح بالاتری برسانم.","1"
"دوره بسیار کامل بود و تمامی نکات کلیدی به خوبی توضیح داده شدند.","1"
"مدرس دوره بسیار متعهد بود، اما گاهی اوقات برنامه‌ریزی کلاس‌ها مناسب نبود.","0"
"دوره بسیار عمیق بود و من توانستم دانش خود را در زمینه‌های مختلف گسترش دهم.","1"
"مدرس دوره بسیار متبحر بود، اما گاهی اوقات توضیحاتش کمی مبهم بود.","0"
"دوره بسیار مفید بود و من توانستم بسیاری از مهارت‌های عملی را یاد بگیرم.","1"
"مدرس دوره بسیار مسلط بود، اما گاهی اوقات به سوالات به طور کامل پاسخ نمی‌داد.","0"
"دوره بسیار جذاب بود و من توانستم اطلاعات زیادی را در مدت زمان کوتاهی یاد بگیرم.","1"
"دوره خوبی بود اما بعضی قسمتها نیاز به بهبود دارند","0"
"مربی بسیار آگاه و با تجربه بود و مطالب را به خوبی ارائه کرد","1"
"محتوای دوره بسیار ابتدایی است و من چیز جدیدی یاد نگرفتم","-1"
"دوره در کل خوب بود، اما کیفیت ویدیوها می توانست بهتر باشد","0"
"با شرکت در این دوره مهارت های جدیدی به دست آوردم که بسیار مفید است","1"
"پیشرفت دوره برای من خیلی سریع بود و نمی توانستم همه چیز را بفهمم","-1"
"دوره بسیار جامع و مفیدی بود، همه مباحث به طور مفصل توضیح داده شد","1"
"معلم در دوره اطلاعات را به شکل پیچیده ای ارائه کرد که درک آن دشوار بود","-1"
"دوره خوبی بود اما انتظار داشتم روی مهارتهای عملی بیشتر تاکید کنم","0"
"معلمان با اشتیاق تدریس کردند و محیط آموزشی را سرگرم کننده کردند","1"
"محتوای دوره تئوری است و عملی نیست","-1"
"محتوای دوره خوب بود اما برنامه مناسب نبود","0"
"این دوره به من کمک کرد تا موضوعات پیچیده را بهتر درک کنم","1"
"مدرس دوره به سوالات پاسخ نمی دهد که یادگیری را دشوار می کند","-1"
"این دوره دارای محتوای متنوعی بود، اما برخی از آن به روز نشدند","0"
"دوره بسیار کاربردی بود و من تکنیک هایی را یاد گرفتم که می توانم بلافاصله از آنها استفاده کنم","1"
"معلم خیلی سریع دوره را طی می کند و زمان کافی برای آموزش وجود ندارد","-1"
"دوره به طور کلی خوب بود، اما برخی از ویدیوها کیفیت خوبی نداشتند","0"
"دوره اطلاعات جدیدی به من داد که قبلاً نمی دانستم","1"
"مدرس دوره بسیار خوب بود، اما محتوای دوره نیاز به به روز رسانی داشت","0"
"دوره بسیار آسان و برای مبتدیان به نظر می رسد","-1"
"دوره بسیار جالب و انگیزشی بود، منتظر دوره های بعدی هستم","1"
"مدرس دوره بسیار آگاه است، اما سبک تدریس خسته کننده است","0"
"مطالب دوره بسیار قدیمی بود و باید به روز شود","-1"
"دوره بسیار متمرکز بود و تمام جنبه های دوره را پوشش می داد","1"
"دوره از نظر محتوا خوب است، اما استاد ارتباط چندانی با شرکت کنندگان ندارد","0"
"دوره از نظر محتوا خیلی خوب بود اما بحث گروهی کمی ضعیف بود","0"
"مدرس بسیار پرانرژی و مشتاق است، اما مطالب کمی پیچیده است","0"
"محتوای دوره بسیار به روز و مطابق با آخرین استانداردهای صنعت بود","1"
"درس خسته کننده بود، اما اطلاعاتی که به شما داده شد مفید بود","0"
"مدرس دوره بسیار مطلع بود اما سرعت تدریس بالا بود","0"
"دوره بسیار مفید و کاربردی بود، تمام نکات کلیدی پوشش داده شد","1"
"مدرس دوره بسیار صبور بود و به تمام سوالات با دقت پاسخ داد","1"
"محتوای دوره کمی قدیمی بود، اما تکنیک های ارائه شده هنوز قابل اجرا هستند","0"
"دوره عالی است، سرگرم کننده است، من از یادگیری لذت می برم","1"
"مدرس دوره بسیار آگاه بود، اما کمی قاطع بود","0"
"دوره از نظر محتوا بسیار خوب است، هر جلسه پر از اطلاعات جدید است","1"
"معلم خیلی خوب است، اما گاهی اوقات از موضوع اصلی منحرف می شود","0"
"دوره بسیار کامل و جامع بود، چیزی از قلم نیفتاد","1"
"مدرس دوره بسیار با تجربه بود، اما روش تدریس او کمی قدیمی بود","0"
"دوره بسیار مفید بود و من توانستم بلافاصله مطالب را در کارم اعمال کنم","1"
"مدرس دوره بسیار آگاه است. اما آموزش خیلی سریع","0"
"دوره بسیار کاربردی و عملی است، تمرینات زیادی برای تقویت مهارت دارد","1"
"استاد درس بسیار مهربان و دلسوز بود، اما گاهی اوقات توضیحاتش کافی نبود","0"
"دوره بسیار متنوع است و تمام جنبه های دوره را در بر می گیرد","1"
"مدرس دوره فوق العاده است، اما گاهی اوقات باید سعی کنید توضیحات او را بفهمید","0"
"معلمان موضوع بسیار مشتاق و آگاه هستند","1"
"محتوای دوره بسیار جامع و به روز بود","1"
"متاسفانه این دوره نیازهای آموزشی من را برآورده نکرد","-1"
"دوره بسیار سریع بود و مطالب به خوبی توضیح داده نشد","-1"
"به نظر می‌رسد این آموزش برای مبتدیان در نظر گرفته شده است نه حرفه‌ای‌ها","-1"
"آموزش بسیار خوب بود و من توانستم بلافاصله آنچه را که یاد گرفتم در کارم به کار ببرم","1"
"معلم خیلی خوب است و می تواند مطالب را به زبان ساده توضیح دهد","1"
"دوره خوبی بود، اما انتظار تمرینات بیشتری را داشتم","0"
"محتوای دوره برای به‌روزرسانی خیلی قدیمی است","-1"
"دوره بسیار کاربردی بود و من توانستم مهارت های جدیدی یاد بگیرم","1"
"دوره به خوبی سازماندهی شده است و مطالب به ترتیب منطقی ارائه شده است","1"
"مدرس دوره خیلی خوب بود اما محتوای دوره کافی نبود","0"
"دوره بسیار سطحی بود و اطلاعات عمیقی ارائه نکرد","-1"
"من از این دوره بسیار راضی هستم و آن را به دیگران توصیه می کنم","1"
"معلم دوره خیلی خشک و بی روح بود و جذاب نبود","-1"
"دوره خوبی بود و خیلی مفاهیم رو خیلی خوب فهمیدم","1"
"محتوای دوره بسیار متنوع و جالب بود","1"
"دوره با ارزشی بود، اما بعضی از موضوعات نیاز به توضیح بیشتری داشت","0"
"مدرس قادر به انتقال اطلاعات به خوبی نیست","-1"
"دوره بسیار مفید بود و من توانستم از محتوای آن در پروژه های شخصی خود استفاده کنم","1"
"دوره خوبی بود، اما توضیح بعضی قسمت ها خیلی گیج کننده بود","0"
"متاسفانه انتظاراتم را برآورده نکرد و چیزهای جدیدی یاد نگرفتم","-1"
"دوره عالی است، من آن را به همه توصیه می کنم","1"
"مدرس دوره بسیار باتجربه بود، اما سبک تدریس او را دوست نداشتم","-1"
"دوره بسیار گسترده بود و من مهارت های جدید زیادی یاد گرفتم","1"
"دوره ارزشمندی بود، اما برخی از ویدیوها کیفیت پایینی داشتند","0"
"معلمان دوره اطلاعات را به خوبی ارائه نکردند و من نتوانستم اطلاعات زیادی کسب کنم","-1"
"این دوره بسیار مفید و مفید است، من می توانم دانش جدیدی کسب کنم","1"
